ticker,company,sector,market_cap_mm,revenue_ttm_mm,ev_ebitda,p_e,revenue_growth_yoy,gross_margin,analyst_rating,price_target,last_close,upside_pct,notes
ACMR,ACM Research,Semiconductors,892,412,18.2,24.1,0.31,0.48,Buy,28.50,21.30,33.8,Strong China exposure — watch export controls
HALO,Halozyme Therapeutics,Biotech,6100,891,22.4,31.2,0.44,0.91,Buy,52.00,44.20,17.6,ENHANZE royalty ramp accelerating
RCKT,Rocket Pharmaceuticals,Biotech,1240,12,N/A,N/A,N/A,N/A,Buy,38.00,18.90,101.1,Phase 3 readouts H2 2024 — binary event
XPOF,Xponential Fitness,Consumer,512,298,11.2,19.4,0.18,0.62,Hold,12.00,10.80,11.1,Franchisee stress emerging in lower income cohorts
DKNG,DraftKings,Gaming,18200,3674,42.1,N/A,0.52,0.41,Buy,55.00,41.20,33.5,OSB market share gains; path to EBITDA profitability 2025
MNDY,Monday.com,SaaS,13100,906,N/A,N/A,0.34,0.89,Buy,265.00,218.40,21.3,Enterprise motion accelerating; AI features driving upsell
YELP,Yelp,Internet,2800,1376,8.4,16.2,0.08,0.92,Hold,38.00,34.60,9.8,Ad market softness; self-serve mix shift
MODV,ModivCare,Healthcare Services,312,2100,6.1,N/A,-0.04,0.12,Hold,22.00,18.40,19.6,NEMT contract losses; liquidity watch
CTOS,Custom Truck One Source,Industrials,1890,1812,9.2,21.4,0.12,0.22,Buy,11.00,8.90,23.6,Rental fleet utilization recovery
PRVA,Privia Health,Healthcare,1640,1821,18.4,N/A,0.21,0.18,Buy,24.00,18.20,31.9,Value-based care conversion driving margin expansion
